seed,optimal_gain,true_greedy_ratio,independence_greedy_ratio,singleton_ratio,random_ratio,true_greedy_domains,independence_greedy_domains,optimal_domains,true_greedy_subset,independence_greedy_subset,optimal_subset
156,0.37908815686774305,1.0,0.6288240114151522,0.6288240114151522,0.9694532358909072,3,1,3,"(2, 3, 5, 10)","(8, 9, 10, 11)","(2, 3, 5, 10)"
157,0.36763204291569185,1.0,0.6309045903034064,0.6309045903034064,0.9676224788164267,3,1,3,"(0, 5, 6, 8)","(8, 9, 10, 11)","(0, 5, 6, 8)"
158,0.43758697240279465,1.0,0.6418513341665341,0.6418513341665341,0.9537481222087629,3,1,3,"(0, 2, 6, 11)","(4, 5, 6, 7)","(0, 2, 6, 11)"
159,0.4422198875857317,1.0,0.9534782933770435,0.9534782933770435,0.972914930768757,3,2,3,"(0, 7, 9, 10)","(6, 7, 9, 10)","(0, 7, 9, 10)"
160,0.4255365385789778,1.0,0.8744037883422309,0.6517224882321943,0.9673311697927901,3,2,3,"(1, 4, 9, 11)","(1, 4, 5, 7)","(1, 4, 9, 11)"
161,0.3792127260878334,1.0,0.865069024804186,0.6343300644528834,0.9514726580053933,3,2,3,"(0, 5, 6, 8)","(0, 8, 9, 10)","(0, 5, 6, 8)"
162,0.38274642652490304,1.0,1.0,1.0,0.9725281037262683,3,3,3,"(1, 5, 9, 11)","(1, 5, 9, 11)","(1, 5, 9, 11)"
163,0.3851835531348623,1.0,0.9656902265811145,0.8729680850239028,0.9600097689629054,3,3,3,"(0, 2, 5, 9)","(0, 5, 6, 9)","(0, 2, 5, 9)"
164,0.40458688157860295,1.0,1.0,1.0,0.9608527272516123,3,3,3,"(2, 6, 7, 8)","(2, 6, 7, 8)","(2, 6, 7, 8)"
165,0.31256390895490405,1.0,0.8794973331694002,0.8794973331694002,0.9649649103040487,3,2,3,"(3, 7, 9, 11)","(0, 1, 3, 9)","(3, 7, 9, 11)"
166,0.395542092619596,1.0,0.634338385828727,0.634338385828727,0.9662014523819963,3,1,3,"(0, 6, 7, 9)","(8, 9, 10, 11)","(0, 6, 7, 9)"
167,0.4143835136481847,1.0,0.6381256792711589,0.6381256792711589,0.964754560188871,3,1,3,"(3, 5, 8, 10)","(4, 5, 6, 7)","(3, 5, 8, 10)"
168,0.44523413133260403,1.0,0.6697119897586951,0.6697119897586951,0.9731789140664244,3,1,3,"(1, 7, 8, 11)","(0, 1, 2, 3)","(1, 7, 8, 11)"
169,0.4350763572345004,1.0,0.6639883263499761,0.6639883263499761,0.9742586369929143,3,1,3,"(1, 3, 6, 11)","(4, 5, 6, 7)","(1, 3, 6, 11)"
170,0.3506263161156045,1.0,0.6506513789806052,0.6506513789806052,0.9696647537492821,3,1,3,"(0, 1, 4, 10)","(4, 5, 6, 7)","(0, 1, 4, 10)"
171,0.3871616875919345,1.0,0.9584365747175163,0.9584365747175163,0.9631406708758943,3,2,3,"(2, 3, 4, 8)","(2, 3, 4, 6)","(2, 3, 4, 8)"
172,0.3860560705857551,1.0,0.6588641502905404,0.6588641502905404,0.9655590876979263,3,1,3,"(1, 4, 5, 9)","(8, 9, 10, 11)","(1, 4, 5, 9)"
173,0.39945126629827216,1.0,0.8696414340798315,0.9660454929677309,0.969262581147223,3,2,3,"(0, 6, 10, 11)","(0, 4, 6, 7)","(0, 6, 10, 11)"
174,0.3562456474551956,1.0,0.8734908272027068,0.8734854683762002,0.9704016588458478,3,2,3,"(1, 4, 8, 9)","(4, 6, 7, 8)","(1, 4, 8, 9)"
175,0.342560357605928,1.0,0.8675522566614663,0.6360919337641683,0.9613607247082033,3,2,3,"(1, 5, 10, 11)","(1, 2, 3, 5)","(1, 5, 10, 11)"
176,0.4138042189037362,1.0,0.9541676512742384,0.9541676512742384,0.9644544521775256,3,2,3,"(0, 6, 10, 11)","(6, 7, 10, 11)","(0, 6, 10, 11)"
177,0.43075583286900204,0.9999302241546333,0.8645747171494703,0.8645747171494703,0.9615493665782208,3,2,3,"(1, 2, 5, 11)","(5, 9, 10, 11)","(1, 2, 5, 10)"
178,0.44504101254908296,1.0,0.6581957698132059,0.6581957698132059,0.9704873619388688,3,1,3,"(1, 5, 7, 8)","(8, 9, 10, 11)","(1, 5, 7, 8)"
179,0.37744075286008555,1.0,0.9597143135176021,0.9597143135176021,0.9612524237284128,3,3,3,"(2, 4, 9, 10)","(2, 3, 4, 10)","(2, 4, 9, 10)"
180,0.3794561747377864,1.0,0.8673183781848885,0.6356746286555975,0.9606709199580629,3,2,3,"(2, 5, 8, 11)","(2, 5, 6, 7)","(2, 5, 8, 11)"
181,0.34936030566006776,1.0,0.8735741411157791,0.8735737282912098,0.9695617136612066,3,2,3,"(0, 4, 7, 8)","(4, 8, 9, 10)","(0, 4, 7, 8)"
182,0.34640120939858776,1.0,0.6399466410955414,0.6399466410955414,0.9580481251322918,3,1,3,"(0, 3, 5, 10)","(4, 5, 6, 7)","(0, 3, 5, 10)"
183,0.3421001437849642,1.0,0.6565968414187628,0.6565968414187628,0.9665823112037524,3,1,3,"(1, 5, 7, 10)","(0, 1, 2, 3)","(1, 5, 7, 10)"
184,0.400449123921745,1.0,0.8600093075158315,0.6290887403573234,0.9475370293432019,3,2,3,"(1, 7, 8, 9)","(0, 1, 3, 7)","(1, 7, 8, 9)"
185,0.4551235709433799,1.0,0.8731863257743206,0.8731863257743206,0.9697351533952258,3,2,3,"(1, 2, 7, 10)","(1, 9, 10, 11)","(1, 2, 7, 10)"
186,0.3567117385366378,1.0,0.8725222232650413,0.8725222232650413,0.957662745494117,3,2,3,"(0, 3, 7, 9)","(4, 6, 7, 9)","(0, 3, 7, 9)"
187,0.3450298325286701,0.9998732831975637,0.6521620625214484,0.6521620625214484,0.967570242721203,3,1,3,"(2, 4, 9, 11)","(4, 5, 6, 7)","(2, 6, 9, 11)"
188,0.3851927494395846,1.0,0.8610473001521655,0.6306375393216586,0.9677125423709807,3,2,3,"(0, 2, 5, 11)","(3, 4, 5, 6)","(0, 2, 5, 11)"
189,0.40594208993774433,1.0,0.9888412087523613,0.9884073164457892,0.9577727124757471,3,2,3,"(2, 3, 4, 8)","(1, 2, 3, 8)","(2, 3, 4, 8)"
190,0.36723963099028756,1.0,1.0,1.0,0.9500153571286457,3,3,3,"(0, 2, 6, 8)","(0, 2, 6, 8)","(0, 2, 6, 8)"
191,0.36271863993193726,1.0,0.9950618440045514,1.0,0.9641386547420333,3,2,3,"(2, 4, 10, 11)","(2, 3, 10, 11)","(2, 4, 10, 11)"
192,0.4605129256486305,1.0,0.6599295996500741,0.6599295996500741,0.965588176315007,3,1,3,"(0, 5, 9, 10)","(4, 5, 6, 7)","(0, 5, 9, 10)"
193,0.3783367922540291,1.0,0.6615307568437677,0.6615307568437677,0.9659651105904908,3,1,3,"(1, 6, 10, 11)","(4, 5, 6, 7)","(1, 6, 10, 11)"
194,0.37572427302413297,0.9999635345922933,0.650124064406749,0.650124064406749,0.9684131545913881,3,1,3,"(1, 5, 6, 10)","(0, 1, 2, 3)","(3, 5, 6, 10)"
195,0.3572887912273668,1.0,1.0,1.0,0.9712708168810744,3,3,3,"(1, 4, 7, 8)","(1, 4, 7, 8)","(1, 4, 7, 8)"
196,0.3541896964702487,1.0,0.6347345046987857,0.6347345046987857,0.9718717486309497,3,1,3,"(0, 3, 5, 9)","(8, 9, 10, 11)","(0, 3, 5, 9)"
197,0.4462306064019869,1.0,0.8645315239701903,0.8645295555483616,0.9610568318141296,3,2,3,"(0, 3, 6, 8)","(4, 6, 7, 8)","(0, 3, 6, 8)"
198,0.3609285605745869,1.0,0.9976121290195454,0.9975390185099194,0.9729458777070417,3,2,3,"(0, 4, 9, 10)","(4, 6, 9, 10)","(0, 4, 9, 10)"
199,0.32419622016004224,1.0,0.9955745574001922,0.9955745574001922,0.9645302154686383,3,2,3,"(3, 5, 7, 8)","(5, 7, 8, 10)","(3, 5, 7, 8)"
200,0.45265889571120294,1.0,0.6516245996289899,0.6516245996289899,0.9594282380894849,3,1,3,"(3, 6, 7, 8)","(8, 9, 10, 11)","(3, 6, 7, 8)"
201,0.35440861620606845,1.0,0.6408960499898629,0.6408960499898629,0.9786976294340192,3,1,3,"(0, 1, 6, 11)","(8, 9, 10, 11)","(0, 1, 6, 11)"
202,0.3964516595123278,1.0,0.6497326667794574,0.6497326667794574,0.9609207901956567,3,1,3,"(0, 5, 6, 8)","(8, 9, 10, 11)","(0, 5, 6, 8)"
203,0.3679059694570667,1.0,0.9641342836900968,0.8630524595600194,0.9562324215596564,3,3,3,"(2, 6, 10, 11)","(1, 2, 6, 11)","(2, 6, 10, 11)"
204,0.37345334343352665,1.0,1.0,1.0,0.9625545921748049,3,3,3,"(1, 2, 5, 9)","(1, 2, 5, 9)","(1, 2, 5, 9)"
205,0.36388569003971527,1.0,1.0,0.993520948793587,0.9510358123576467,3,3,3,"(0, 1, 4, 8)","(0, 1, 4, 8)","(0, 1, 4, 8)"
206,0.3625973488751666,1.0,0.8768534029967548,0.8768596185399447,0.9437480532166614,3,2,3,"(3, 5, 6, 11)","(1, 2, 3, 5)","(3, 5, 6, 11)"
207,0.3803777117029765,1.0,0.6459337746881247,0.6459337746881247,0.9612976187471327,3,1,3,"(1, 6, 8, 11)","(4, 5, 6, 7)","(1, 6, 8, 11)"
208,0.41299313697313317,1.0,0.9553569895514795,0.8682016280135872,0.9635782058784047,3,2,3,"(0, 2, 7, 8)","(0, 2, 8, 11)","(0, 2, 7, 8)"
209,0.39557002609784536,1.0,0.9510612105979711,0.9629477037309057,0.9598179694363439,3,2,3,"(0, 3, 5, 10)","(0, 3, 10, 11)","(0, 3, 5, 10)"
210,0.3598337815364696,0.9999282226453027,0.6637478468794195,0.6637478468794195,0.958465035786923,3,1,3,"(3, 6, 8, 9)","(0, 1, 2, 3)","(0, 6, 8, 9)"
211,0.38290854413254594,1.0,0.8619334191828344,0.6243550337923719,0.9623774658216092,3,2,3,"(0, 4, 5, 9)","(0, 1, 2, 5)","(0, 4, 5, 9)"
212,0.344643729784562,1.0,0.9899576267851908,0.9899576267851908,0.9574866641802118,3,2,3,"(3, 4, 8, 10)","(3, 8, 10, 11)","(3, 4, 8, 10)"
213,0.4247678519865024,1.0,0.9556011862925354,0.9556011862925354,0.9694694777220414,3,2,3,"(1, 3, 5, 10)","(1, 3, 4, 5)","(1, 3, 5, 10)"
214,0.3884899545219916,1.0,0.8654522906616253,0.6308628783563462,0.9814326801823418,3,2,3,"(2, 3, 5, 9)","(3, 4, 5, 7)","(2, 3, 5, 9)"
215,0.40703597876839154,1.0,0.6570619964398027,0.6570619964398027,0.9710447433963425,3,1,3,"(1, 3, 7, 10)","(4, 5, 6, 7)","(1, 3, 7, 10)"
216,0.3778277459889966,1.0,0.9663251651884074,0.8679852008305439,0.9674859342360347,3,3,3,"(3, 4, 5, 11)","(3, 5, 10, 11)","(3, 4, 5, 11)"
217,0.3186946409958252,1.0,1.0,1.0,0.9666549656535859,3,3,3,"(1, 2, 4, 10)","(1, 2, 4, 10)","(1, 2, 4, 10)"
218,0.36330723570463863,1.0,0.8539419446321017,0.6208412051717065,0.9712070918297144,3,2,3,"(1, 7, 10, 11)","(1, 2, 3, 7)","(1, 7, 10, 11)"
219,0.4496013978185038,1.0,0.6383941981242517,0.6383941981242517,0.9636597450068268,3,1,3,"(1, 4, 7, 8)","(8, 9, 10, 11)","(1, 4, 7, 8)"
220,0.3728614059397367,1.0,0.9621518619747801,0.8615128550054365,0.9692015351824219,3,3,3,"(2, 3, 6, 9)","(3, 6, 9, 11)","(2, 3, 6, 9)"
221,0.40426008361822535,1.0,0.9991605792597656,0.9460493452082257,0.9650170144814754,3,3,3,"(2, 3, 6, 8)","(3, 6, 8, 9)","(2, 3, 6, 8)"
222,0.43042789398640985,1.0,0.9649477137052076,0.9528568162427143,0.9756602511682445,3,3,3,"(0, 4, 6, 10)","(0, 2, 4, 10)","(0, 4, 6, 10)"
223,0.4443072895544112,1.0,0.950890005209137,0.950890005209137,0.9719200293316758,3,2,3,"(0, 6, 7, 9)","(0, 1, 6, 7)","(0, 6, 7, 9)"
224,0.45157216034804387,1.0,0.8683991636862325,0.6373899836949876,0.9726705435842601,3,2,3,"(0, 2, 6, 11)","(2, 8, 10, 11)","(0, 2, 6, 11)"
225,0.397655328318852,1.0,0.9922328956239217,0.9554693693969035,0.9609379836687234,3,2,3,"(0, 5, 10, 11)","(0, 8, 10, 11)","(0, 5, 10, 11)"
226,0.38354235309207446,1.0,0.9977377785395803,0.9977377785395803,0.9613460652992333,3,2,3,"(2, 4, 5, 8)","(4, 5, 8, 10)","(2, 4, 5, 8)"
227,0.44668842561244115,1.0,0.9577564600388486,0.8704659824829069,0.9675842727325954,3,2,3,"(2, 4, 5, 9)","(4, 5, 9, 11)","(2, 4, 5, 9)"
228,0.43633889247770824,1.0,0.9625541790173174,0.9625068922894019,0.9619877149470776,3,3,3,"(0, 1, 6, 10)","(0, 5, 6, 10)","(0, 1, 6, 10)"
229,0.3891603439815395,1.0,0.959163791801964,0.855397861915179,0.9666467456344741,3,3,3,"(3, 4, 7, 9)","(1, 3, 7, 9)","(3, 4, 7, 9)"
230,0.3908039773124148,1.0,0.8634850593111951,0.8634850593111951,0.9677380978005088,3,2,3,"(2, 7, 9, 11)","(1, 2, 3, 9)","(2, 7, 9, 11)"
231,0.39377923445159585,0.9999414091533201,0.8593924722059108,0.6272973901053367,0.9626916036503496,3,2,3,"(2, 5, 7, 8)","(0, 1, 2, 7)","(2, 5, 7, 9)"
232,0.3848598852820742,1.0,0.959357616901774,0.8566651798639365,0.9503383119823473,3,3,3,"(1, 2, 7, 8)","(2, 5, 7, 8)","(1, 2, 7, 8)"
233,0.374526166566374,1.0,0.8575257735225502,0.8575257735225502,0.9685257855485381,3,2,3,"(0, 4, 7, 10)","(0, 2, 3, 4)","(0, 4, 7, 10)"
234,0.37176594653461503,1.0,0.6367582208731248,0.6367582208731248,0.9669715899201151,3,1,3,"(1, 5, 6, 11)","(0, 1, 2, 3)","(1, 5, 6, 11)"
235,0.36197724150705507,1.0,0.87204672403433,0.8734251149320668,0.9724555710209323,3,2,3,"(3, 7, 9, 11)","(4, 5, 7, 9)","(3, 7, 9, 11)"
236,0.4357942523463419,1.0,0.8768075947580334,0.8768075947580334,0.9668397845690271,3,2,3,"(2, 3, 4, 10)","(2, 4, 5, 7)","(2, 3, 4, 10)"
237,0.5021927236975738,1.0,0.9875168516944477,0.9861238012439645,0.9767272870280165,3,2,3,"(1, 6, 7, 11)","(1, 5, 6, 7)","(1, 6, 7, 11)"
238,0.347794430523949,1.0,0.6747045255552909,0.6747045255552909,0.9613849155699834,3,1,3,"(0, 3, 6, 10)","(8, 9, 10, 11)","(0, 3, 6, 10)"
239,0.40845594915998684,1.0,0.9699455371289539,0.9699455371289539,0.9539108218995188,3,1,3,"(2, 4, 6, 8)","(4, 5, 6, 7)","(2, 4, 6, 8)"
240,0.3553123945240389,1.0,0.8685166433917499,0.8702752694756513,0.959410444709301,3,2,3,"(1, 3, 6, 11)","(5, 6, 7, 11)","(1, 3, 6, 11)"
241,0.3965510632135396,1.0,0.9621969979281535,0.9621969979281535,0.9705455484772396,3,3,3,"(0, 2, 5, 9)","(2, 4, 5, 9)","(0, 2, 5, 9)"
242,0.3616892456284416,0.9997981674780518,0.6513331727415975,0.6513331727415975,0.9648526493579707,3,1,3,"(1, 2, 4, 10)","(4, 5, 6, 7)","(1, 2, 7, 10)"
243,0.36643110028726317,1.0,0.999198810502635,0.99308309418224,0.9562651248721753,3,3,3,"(0, 4, 6, 9)","(0, 3, 6, 9)","(0, 4, 6, 9)"
244,0.3776964158473891,1.0,0.9530481820897075,0.9530481820897075,0.9717326963654482,3,2,3,"(2, 6, 9, 11)","(1, 2, 9, 11)","(2, 6, 9, 11)"
245,0.41877684798290316,1.0,0.9626701382466545,0.9626701382466545,0.9658726816647496,3,3,3,"(3, 6, 10, 11)","(1, 3, 6, 11)","(3, 6, 10, 11)"
246,0.33895818234579755,1.0,0.9635339565684083,0.9635339565684083,0.9391723648461536,3,3,3,"(0, 2, 7, 9)","(2, 6, 7, 9)","(0, 2, 7, 9)"
247,0.47013817989722356,1.0,0.9962564743035531,1.0,0.961285759844843,3,2,3,"(0, 3, 7, 11)","(0, 3, 10, 11)","(0, 3, 7, 11)"
248,0.42497510222569523,1.0,1.0,0.999943311450165,0.9702871960513942,3,3,3,"(2, 4, 8, 9)","(2, 4, 8, 9)","(2, 4, 8, 9)"
249,0.386413312240516,1.0,0.9550298277452315,0.862859200717605,0.9541064915129162,3,2,3,"(2, 7, 8, 11)","(2, 3, 8, 11)","(2, 7, 8, 11)"
